,description,id,created_on,status,project,author,subject,cliente
0,"Estou fazendo essa carta de correção, pra enviar por email não está dando",7897,13/10/2020,Fechada,Suporte Técnico,Ana,carta de correção,OSMAR MOTORES
1,Mensagem de Enviado e não processado ao emitir a NFS,9169,27/1/2021,Fechada,Suporte Técnico,Elaine,Auxilio na emissão de NFS,RG LOCAÇÃO DE EMPILHADEIRAS LTDA
2,Cliente nao estava conseguindo enviar as notas,7076,25/6/2020,Fechada,Suporte Técnico,Ana,Nfe nao enviando,MEDICA BRASIL
3,nao esta enviando a nfe,7607,14/9/2020,Fechada,Suporte Técnico,Ana,nao esta enviando a nfe,ORTONORTE ORTESE E PROTESE LTDA
4,"Ao selecionar varias vendas em aberto para agrupar, esta apresentando a seguinte mensagem ""PRODUTO NÃO CADASTRADO"", como faço para saber exatamente qual item de qual venda esta dando o erro ?",7086,26/6/2020,Fechada,Suporte Técnico,Ana,Mensagem ao agrupar varias vendas,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
5,o layout esta saindo incorreto poderia ver pra mim,7608,14/9/2020,Fechada,Suporte Técnico,Ana,Ordem de Serviço Desconfigurou,OSMAR MOTORES
6,"estou tentado incluir um pedido mas fica apresentando a seguinte mensagem "" cfop inativa ou não cadastrada""",7088,26/6/2020,Fechada,Suporte Técnico,Ana,Pedido de venda - não esta gravando,TITANIUM
7,"ao enviar a nota fiscal de serviço esta apresentando a seguinte rejeição ""Erro não catalogado""",8588,1/12/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota de serviço,ALTAMAQ EMPILHADEIRAS
8,Solicitado que reinicie o NF,7901,13/10/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
9,estou com uma outra nota que esta apresentando FALHA NO SCHEMA DO XML DO LOTE,7900,13/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,TITANIUM
10,Ao gerar a nota fiscal estava apresentando erro de ncm em um dos itens,8590,1/12/2020,Fechada,Suporte Técnico,Ana,Mensagem ao gerar nota ,MATERIAIS DE CONSTRUCAO AFONSO PENA
11,Cliente precisava reencaminhar nota/Xml por e-mail para cliente,8589,1/12/2020,Fechada,Suporte Técnico,Elaine,"Envio XMl,Nota por e-mail",PLANETA QUEIJO
12,"Ao enviar a nfe esta apresentando a seguinte rejeição ""Grupos Veículo Transporte e Reboque não devem ser informados""",8592,2/12/2020,Fechada,Suporte Técnico,Ana,Rejeição de NFE,ADECCOR
13,"Angelize reportou que estava tentando transmitir uma NF-e e não estava conseguindo, foi visto que ocorria mensagem indicando que estava sem resposta do masternfe, então foi testado diretamente na conexão com o servidor e usando ao user administrador e também não enviou, depois disso foi baixado o arquivo de atualização do masternfe no site da mastercim, atualizado e depois disso a nota foi transmitida.",7902,13/10/2020,Fechada,Suporte Técnico,Cleverson,Masternfe não respondendo ao transmitir NF-e,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
14,Solicitada a reinicialização do NFe,7903,13/10/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
15,Solicitada a reinicialização do NFE,7904,13/10/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
16,Liberação de Acesso,7905,13/10/2020,Fechada,Suporte Técnico,Ana,Liberação de Acesso,RMP ESTAMPARIA E METALURGICA
17,Cliente estava com duvidas em como realizar duas devoluções ,7906,13/10/2020,Fechada,Suporte Técnico,Ana,Duvida nota de devolução,HS IMPLANTES
18,"Cliente informou que apos instalarem o sistema novo na nuvem, ao gerar a nota apresenta erro",7907,13/10/2020,Fechada,Suporte Técnico,Ana,Mensagem ao gerar nota ,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
19,"Não estou conseguindo imprimir o pedido, direto na tela de pedido",8594,2/12/2020,Fechada,Suporte Técnico,Ana,Pedido de venda - impressão,MEDICA BRASIL
20,o sistema do cliente está apresentando mensagem de controle de licença mesmo com os pagamentos OK,7908,13/10/2020,Fechada,Suporte Técnico,Elaine,Mensagem de Controle de licença,SPINE7
21,Mensagem de Falha no Schema XML do lote de NFe ao emitir a nota,9171,27/1/2021,Fechada,Suporte Técnico,Elaine,Mensagem de erro na emissão da nota,IMPLANEWS - BETHA IMPLANTES
22,Ajuste o atalho na maquina estação,9173,27/1/2021,Fechada,Suporte Técnico,Ana,Ajuste de atalho ,TITANIUM
23,A cliente relatou que determinada Nota nao estava sendo apresentada no financeiro,9174,28/1/2021,Fechada,Suporte Técnico,Elaine,Nota não apresentada no contas a receber.,DDN CONFECCOES
24,"Movimento - venda rapida - alt+d (devolução)

Quando faço mais de uma devolução de uma venda, os itens da devolução duplica na venda, a primeira devolução vai certo as outras começam a duplicar

!devoluca.jpeg!",7087,26/6/2020,Fechada,Suporte Técnico,Ana,Devolução de venda,CASA DA OBRA
25,Cliente gostaria de auxilio para emissao de nota de complemento,7077,25/6/2020,Fechada,Suporte Técnico,Ana,nota  de complemento de icms,DDN CONFECCOES
26,"Menu - movimentações - Saidas -Requisições de Materiais
Na tela de Requisições de Materiais - Botão Retorno Parcial
Cliente seleciona o Kit, informa o que foi Utilizado. 
Já na mensagem de Deseja fazer a reposição? - Clico em Sim.
O sistema apresenta a mensagem perguntando se desejo fazer a reposição do Kit, clico em Sim. O sistema está apresentando para o cliente a tela de Reposição em Branco.
",8547,27/11/2020,Fechada,Suporte Técnico,Elaine,Erro no retorno parcial,PROFFIX COMERCIO DE EQUIPAMENTO MÉDICOS E HOSPITALARES LTDA
27,Mensagem de erro ao gravar o orçamento de venda - Falha na gravação dos dados.,8597,2/12/2020,Fechada,Suporte Técnico,Elaine,Mensagem de erro na inclusão do orçamento de venda,TOP SURGICAL
28,Cliente entrou em contato reportando que necessitaria saber como pode levantar informações sobre possíveis vendas excluídas do sistema,8598,2/12/2020,Fechada,Suporte Técnico,Cleverson,Dúvida sobre controle quando a rastreabilidade quanto documentos editados e/ou excluídos do sistema por usuários,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
29,"havia caído a conexão do masternfe, reiniciado o firebird",7909,13/10/2020,Fechada,Suporte Técnico,Ana,reiniciado o nfe e o sistema,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
30,"Cliente teve recentemente seu windows atualizando o qual fez excluir o firebird que é um programa fundamental para o funcionamento do sistema, então quando foi excluído automaticamente o sistema parou de funcionar. Reinstalei o firebird e o programa funcionou normalmente",7095,29/6/2020,Fechada,Suporte Técnico,Enghel,Atalho do cliente sumiu,COFFESUL
31,"Quando estou gerando a NFE, e esta apresentando a seguinte rejeição "" SEFAZ do contribuinte não permite contruinte isento""",8596,2/12/2020,Fechada,Suporte Técnico,Ana,Rejeição de NFE,RUSTFER MOVEIS
32,Cliente não consegue finalizar a emissão da NFe,7910,13/10/2020,Fechada,Suporte Técnico,Elaine,Erro na emissão da Nota,SPINE7
33,"Cliente fez uma alteração na configuração da etiqueta, e ao clicar para imprimir esta apresentando o seguinte erro ""FILE NOT FOUND""",8595,2/12/2020,Fechada,Suporte Técnico,Ana,Erro na impressão de Etiqueta,DDN CONFECCOES
34,Cliente esta enviando a nota e apresenta a mensagem de CERTIFICADO VENCIDO,7093,29/6/2020,Fechada,Suporte Técnico,Ana,Nfe nao enviando,ORTONORTE ORTESE E PROTESE LTDA
35,"O servidor do cliente teve uma invasão, a qual todos os arquivos foram criptografados, ele me passou que é feito um backup diario",9176,28/1/2021,Fechada,Suporte Técnico,Ana,Reinstalação do Sistema,TOP SURGICAL
36,"nao estou conseguindo fechar uma venda aparece ""DUPLICIDADE DE NOTA""",7854,8/10/2020,Fechada,Suporte Técnico,Ana,Duplicidade de Nota ,SUPER CARGA
37,"Ao enviar a nota fiscal estava apresentando erro de "" Falha no schema do xml do lote""",8600,2/12/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,AGNUS LIFE
38,Cliente reportou que estava apresentando a informação de código do fabricante ao invés do código sequencial,8593,2/12/2020,Fechada,Suporte Técnico,Ana,Informação divergente,LINHACO
39,Ajuste de atalho,9178,28/1/2021,Fechada,Suporte Técnico,Ana,Ajuste de atalho,MATERIAIS DE CONSTRUCAO AFONSO PENA
40,Ajuste de atalho,7856,8/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de atalho,YPEGAS
41,"Estou com o caixa de ontem divergente nos valores, poderia me ajudar a fechar ele",7855,8/10/2020,Fechada,Suporte Técnico,Ana,Fechamento de caixa Divergente,MATERCONS CAMPO MOURÃO
42,"<pre>
Ana quando eu lanço uma ordem de compra, o campo prazo de entrega fica uma data aleatória, 
mesmo que eu coloquei a data certa quando informo outro item a data fica incorreta.
</pre>

Teste realizado na versão 20.11.01
na base da Madeco e Copaves

Movimento - Ordem de compra - incluir

Ao lançar uma nova ordem de compra, quando informo um item o campo com a data de PRAZO DE ENTREGA, altera para a data de 30/12/1899, e mesmo que altere para a data correta, conforme vai inserindo os itens a data vai voltando para 30/12/1899

!inclusao.png!
!produto.png!",8387,18/11/2020,Fechada,Suporte Técnico,Ana,Ordem de Compra -  Prazo de Entrega,ADECCOR
43,Ao enviar um cupom esta apresentando uma mensagem,7098,29/6/2020,Fechada,Suporte Técnico,Ana,Mensagem ao enviar NFC,MADECO
44,"Conectado com o cliente e consultado Status da NFe na Gerenciador de Notas.
Nota emitida.",7857,8/10/2020,Fechada,Suporte Técnico,Elaine,Erro na emissão da Nota,TURMA DO PINICÃO OU QUALLY COLLOR
45,Erro na emissão da Nota,7858,8/10/2020,Fechada,Suporte Técnico,Elaine,Erro na emissão da Nota,PHARMATEX COMERCIAL DE PRODUTOS HOSPITALARES
46,Cliente relatou erro ao emitir a NFe de Serviço parado momentaneamente,7860,8/10/2020,Fechada,Suporte Técnico,Elaine,Erro na emissão da Nota,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
47,"Cliente precisava alterar informações como endereço e site, conectei e fiz as alterações necessárias testamos e deu tudo certo.",7100,29/6/2020,Fechada,Suporte Técnico,Enghel,Configuração de layout,REABILIT
