#;Projeto;Tipo;Tarefa pai;Situação;Prioridade;Título;Autor;Atribuído para;Alterado em;Tempo estimado geral;Criado em;Concluído;Última atualização por;Tarefas relacionadas;Arquivos;Cliente;Solicitante;Tempo Testes;Privado;Descrição;Últimas notas
7931;Suporte Técnico;Ticket;"";Comercial;Não;Duvida no app de Pedido;Ana;"";14/10/2020 15:12;"";14/10/2020 15:12;"";Ana;"";"";LOUSART;Nelson;"";Não;"Cliente tem interesse em saber como funciona o aplicativos de pedido, saber os valores.

entrar em contato com o *Nelson - 984905229*";""
7943;Suporte Técnico;Ticket;"";Comercial;Não;Nova empresa;Ana;"";15/10/2020 09:48;"";15/10/2020 09:47;"";Ana;"";"";FORMIGONI;Rocha;"";Não;"<pre>
 preciso ver c ele ou alguém do comercial para aderir a um sistema pra minha outra empresa apenas para emissão de NF Queria ver o melhor valor
</pre>

Cliente vai abrir um nova empresa apenas com emissao de nota e gostaria de saber quanto a valores 

Rocha - 98858-1438";""
8637;Suporte Técnico;Ticket;"";Análise Técnica;Não;Erro MDF;Ana;Carlson;04/12/2020 17:00;"";04/12/2020 16:55;"";Ana;"";rustfer.jpg;RUSTFER MOVEIS;Amanda;"";Não;"Cliente entrou em contato que esta com problema para acesso o mdf
!rustfer.jpg!";""
9530;Suporte Técnico;Ticket;"";Comercial;Não;Treinamento Sistema;Elaine;Cleverson;25/02/2021 15:11;"";23/02/2021 14:07;"";Cleverson;"";"";FORMASAT;Sandra;"";Não;"A cliente entrou em contato solicitando um treinamento da empresa Perfios e Formasat
Segundo ela eles precisam mudar alguns procedimentos internos e melhorar utilização do sistema de vocês para otimizar os processos.
Eles querem focar especialmente nos procedimentos de criar acesso aos setores da empresa Perfios e Formasat e verificar procedimentos do modulo Financeiro.

Contado Sandra: 41 99131-1527 ou 3033-0095";Sandra retornou comentando que não poderá receber nessa sexta e que vai aguardar liberação para poder marcar visita técnica.
9562;Suporte Técnico;Ticket;"";Comercial;Não;Aquisição do Sistema ;Ana;Cleverson;18/03/2021 10:36;"";24/02/2021 16:05;"";Cleverson;"";"";MASTERCIM;Efrain;"";Não;"Srº Efrain entrou em contato para realizar a aquisição do sistema para sua empresa
Entrar em contato com o mesmo pelo telefone 41 98826-1080 - Efrain";"[15:38, 17/03/2021] Cleverson: Tudo certo com a analise da proposta? Algo que possa ajudar para facilitar o fechamento?
[08:23, 18/03/2021] +55 41 8826-1080: Bom dia Cleverson ainda não mudei o sistema mais pago 195 reais ."
9211;Suporte Técnico;Ticket;"";Nova;Não;Atualizar versão do Firebird;Cleverson;Suporte;29/01/2021 15:35;"";29/01/2021 15:35;"";"";"";"";BLACK CHOPP BEBIDAS (CURITIBA);Dara - 41 9.9757-0199;"";Não;Precisamos que seja realizado o procedimento de atualização do sgdb para a versão do 2.5. Favor entrar em contato com a Dara para realização do agendamento/procedimento.;""
9212;Suporte Técnico;Ticket;"";Comercial;Não;Demostrativo de sistema;Ana;Cleverson;25/02/2021 09:45;"";29/01/2021 16:07;"";Cleverson;"";"";MASTERCIM;Jacqueline;"";Não;"Jacqueline recebeu a indicação do Eliton da empresa Beliton, para utilizar o sistema

segue contato  99637-2060 Jacqueline";Realizado novo contato com Jacqueline para tentar conversar sobre os sistemas e fazer uma demonstração do sistema e gerar uma proposta, estou aguardando retorno dela.
9621;Suporte Técnico;Ticket;"";Nova;Não;Configuração de e-mail para conta do Roberto;Cleverson;Elaine;17/03/2021 16:28;"";02/03/2021 10:39;"";Elaine;"";"";REALMAD MADEIRAS;Roberto;"";Não;Solicitou ajuda para poder configurar a conta de e-mail pois estava dando um erro ao tentar transmitir documentos por e-mail via sistema.;Entrado em contato com Roberto, ele não se encontra na empresa, mas assim que retornar vai entrar em contato comigo para configurarmos.
8681;Suporte Técnico;Ticket;"";Suporte;Não;Versao V20.12.01;Andre;Suporte;18/01/2021 09:11;"";09/12/2020 09:30;"";Elaine;"";"";CASA DOS VARAIS;"";"";Não;#7613;Encaminhado novamente e-mail a cliente, aguardando autorização para atualizar.
7647;Suporte Técnico;Ticket;"";Suporte;Não; Validação do custo médio;Ana;Ana;04/01/2021 13:52;"";18/09/2020 14:12;"";Andre;"";"";X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR;Ana;"";Não;"Olá...
Não identifique retorno.
Grata

Lá...

 

 

Enviamos na implantação do sistema uma planilha que  comparando com a planilha enviado no ticket 7188, tem valores divergentes do inicio.

1.       Vocês podem nos informar qual a tabela utilizada na implantação de custo?

2.       Como compõe o novo calculo do custo? Ainda não conseguimos validar, pelo o que esta no sistema ( Hoje)
Fazendo uma simulação entre a enviada ou a do ticket , tem itens com valores muito divergentes.
Aguardamos retorno técnico.

 ";"Segue breve explicação sobre como funciona a montagem do custo médio.

Custo = Custo - (((Custo * (Percentual_ICMS / 100)) * percentual_diferimento) / 100);
CustoAnterior = custo gravado anteriormente
CustoAtual    = Custo
CustoMedio    = ((CustoAtual * quantidade) + (CustoAnterior * quantidade_estoque)) / (quantidade + quantidade_estoque)"
8133;Suporte Técnico;Ticket;"";Análise Técnica;Não;MANIFESTO ;Ana;Carlson;29/10/2020 15:43;"";29/10/2020 15:43;"";Ana;"";artbrasil.jpeg;RUSTFER MOVEIS;Amanda;"";Não;"Cliente não esta conseguindo encerrar os manifestos de nº 404 e 405 apresenta o seguinte erro:
*Empresa: Art brasil*

!artbrasil.jpeg!";""
9640;Suporte Técnico;Ticket;"";Suporte;Não;Versao V21.03.01;Andre;Suporte;03/03/2021 11:37;"";03/03/2021 11:37;"";Andre;"";"";BETHA IMPLANTES;"";"";Não;#9299;""
9639;Suporte Técnico;Ticket;"";Suporte;Não;Versao V21.03.01;Andre;Suporte;03/03/2021 11:37;"";03/03/2021 11:35;"";Andre;"";"";SPACE MEDICAL DISTRIBUIDORA LTDA;"";"";Não;#9261,#9298;""
